Species,Order,Family
Melanotaenia_boesemani,Atheriniformes,Melanotaeniidae
Micropterus_dolomieu,Centrarchiformes,Centrarchidae
Misgurnus_anguillicaudatus,Cypriniformes,Cobitidae
Mugil_cephalus,Mugiliformes,Mugilidae
Muraenolepis_orangiensis,Gadiformes,Muraenolepididae
Myripristis_murdjan,Holocentriformes,Holocentridae
Myxocyprinus_asiaticus,Cypriniformes,Catostomidae
Nematolebias_whitei,Cyprinodontiformes,Rivulidae
Neolamprologus_brichardi,Cichliformes,Cichlidae
Nibea_albiflora,Eupercaria,Sciaenidae
Nothobranchius_furzeri,Cyprinodontiformes,Nothobranchiidae
Oncorhynchus_gorbuscha,Salmoniformes,Salmonidae
Oncorhynchus_keta,Salmoniformes,Salmonidae
Oncorhynchus_kisutch,Salmoniformes,Salmonidae
Oncorhynchus_mykiss,Salmoniformes,Salmonidae
Oncorhynchus_nerka,Salmoniformes,Salmonidae
Oncorhynchus_tshawytscha,Salmoniformes,Salmonidae
Onychostoma_macrolepis,Cypriniformes,Cyprinidae
Oreochromis_aureus,Cichliformes,Cichlidae
Oreochromis_niloticus,Cichliformes,Cichlidae
Oryzias_javanicus,Beloniformes,Adrianichthyidae
Oryzias_latipes,Beloniformes,Adrianichthyidae
Pangasianodon_gigas,Siluriformes,Pangasiidae
Pangasianodon_hypophthalmus,Siluriformes,Pangasiidae
Parambassis_ranga,Ovalentaria,Ambassidae
Perca_flavescens,Perciformes,Percidae
Perca_fluviatilis,Perciformes,Percidae
Periophthalmus_magnuspinnatus,Gobiiformes,Oxudercidae
Plectropomus_leopardus,Perciformes,Epinephelidae
Pleuronectes_platessa,Pleuronectiformes,Pleuronectidae
Poecilia_reticulata,Cyprinodontiformes,Poeciliidae
Pogonophryne_albipinna,Perciformes,Artedidraconidae
Pseudochaenichthys_georgianus,Perciformes,Channichthyidae
Puntigrus_tetrazona,Cypriniformes,Cyprinidae
Pygocentrus_nattereri,Characiformes,Serrasalmidae
Salarias_fasciatus,Blenniiformes,Blenniidae
Salmo_salar,Salmoniformes,Salmonidae
Salvelinus_fontinalis,Salmoniformes,Salmonidae
Salvelinus_namaycush,Salmoniformes,Salmonidae
Sander_lucioperca,Perciformes,Percidae
Scatophagus_argus,Acanthuriformes,Scatophagidae
Scleropages_formosus,Osteoglossiformes,Osteoglossidae
Scomber_japonicus,Scombriformes,Scombridae
Scophthalmus_maximus,Pleuronectiformes,Scophthalmidae
Scortum_barcoo,Centrarchiformes,Terapontidae
Sebastes_umbrosus,Perciformes,Sebastidae
Silurus_meridionalis,Siluriformes,Siluridae
Siniperca_chuatsi,Centrarchiformes,Sinipercidae
Solea_senegalensis,Pleuronectiformes,Soleidae
Solea_solea,Pleuronectiformes,Soleidae
Sparus_aurata,Eupercaria,Sparidae
Sphaeramia_orbicularis,Kurtiformes,Apogonidae
Toxotes_jaculatrix,Carangiformes,Toxotidae
Synaphobranchus_kaupii,Anguilliformes,Synaphobranchidae
Synchiropus_splendidus,Callionymiformes,Callionymidae
Syngnathus_acus,Syngnathiformes,Syngnathidae
Tachysurus_fulvidraco,Siluriformes,Bagridae
Takifugu_bimaculatus,Tetraodontiformes,Tetraodontidae
Takifugu_flavidus,Tetraodontiformes,Tetraodontidae
Takifugu_rubripes,Tetraodontiformes,Tetraodontidae
Thalassophryne_amazonica,Batrachoidiformes,Batrachoididae
Thunnus_albacares,Scombriformes,Scombridae
Thunnus_maccoyii,Scombriformes,Scombridae
Triplophysa_rosa,Cypriniformes,Nemacheilidae
Xiphias_gladius,Carangiformes,Xiphiidae
Xiphophorus_couchianus,Cyprinodontiformes,Poeciliidae
Xiphophorus_hellerii,Cyprinodontiformes,Poeciliidae
Xiphophorus_maculatus,Cyprinodontiformes,Poeciliidae
Xyrauchen_texanus,Cypriniformes,Catostomidae
Xyrichtys_novacula,Eupercaria,Labridae
